DATE,CPI
12/11/2014,103.8
13/11/2014,103.8
14/11/2014,103.8
15/11/2014,103.8
16/11/2014,103.8
17/11/2014,103.8
18/11/2014,103.8
19/11/2014,103.8
20/11/2014,103.8
21/11/2014,103.8
22/11/2014,103.8
23/11/2014,103.8
24/11/2014,103.9
25/11/2014,103.9
26/11/2014,103.9
27/11/2014,103.9
28/11/2014,103.9
29/11/2014,103.9
30/11/2014,103.9
1/12/2014,103.9
2/12/2014,103.9
3/12/2014,103.9
4/12/2014,103.9
5/12/2014,103.9
6/12/2014,103.9
7/12/2014,103.9
8/12/2014,103.9
9/12/2014,103.9
10/12/2014,103.9
11/12/2014,104
12/12/2014,104
13/12/2014,104
14/12/2014,104
15/12/2014,104
16/12/2014,104
17/12/2014,104
18/12/2014,104
19/12/2014,104
20/12/2014,104
21/12/2014,104
22/12/2014,104
23/12/2014,104
24/12/2014,104
25/12/2014,104
26/12/2014,104
27/12/2014,104
28/12/2014,104.1
29/12/2014,104.1
30/12/2014,104.1
31/12/2014,104.1
1/1/2015,104.1
2/1/2015,104.1
3/1/2015,104.1
4/1/2015,104.1
5/1/2015,104.1
6/1/2015,104.1
7/1/2015,104.1
8/1/2015,104.1
9/1/2015,104.1
10/1/2015,104.1
11/1/2015,104.1
12/1/2015,104.1
13/1/2015,104.1
14/1/2015,104.2
15/1/2015,104.2
16/1/2015,104.2
17/1/2015,104.2
18/1/2015,104.2
19/1/2015,104.2
20/1/2015,104.2
21/1/2015,104.2
22/1/2015,104.2
23/1/2015,104.2
24/1/2015,104.2
25/1/2015,104.2
26/1/2015,104.2
27/1/2015,104.2
28/1/2015,104.2
29/1/2015,104.2
30/1/2015,104.2
31/1/2015,104.2
1/2/2015,104.3
2/2/2015,104.3
3/2/2015,104.3
4/2/2015,104.3
5/2/2015,104.3
6/2/2015,104.3
7/2/2015,104.3
8/2/2015,104.3
9/2/2015,104.3
10/2/2015,104.3
11/2/2015,104.3
12/2/2015,104.3
13/2/2015,104.3
14/2/2015,104.3
15/2/2015,104.3
16/2/2015,104.3
17/2/2015,104.3
18/2/2015,104.4
19/2/2015,104.4
20/2/2015,104.4
21/2/2015,104.4
22/2/2015,104.4
23/2/2015,104.4
24/2/2015,104.4
25/2/2015,104.4
26/2/2015,104.4
27/2/2015,104.4
28/2/2015,104.4
1/3/2015,104.4
2/3/2015,104.4
3/3/2015,104.4
4/3/2015,104.4
5/3/2015,104.4
6/3/2015,104.4
7/3/2015,104.5
8/3/2015,104.5
9/3/2015,104.5
10/3/2015,104.5
11/3/2015,104.5
12/3/2015,104.5
13/3/2015,104.5
14/3/2015,104.5
15/3/2015,104.5
16/3/2015,104.5
17/3/2015,104.5
18/3/2015,104.5
19/3/2015,104.5
20/3/2015,104.5
21/3/2015,104.5
22/3/2015,104.5
23/3/2015,104.5
24/3/2015,104.6
25/3/2015,104.6
26/3/2015,104.6
27/3/2015,104.6
28/3/2015,104.6
29/3/2015,104.6
30/3/2015,104.6
31/3/2015,104.6
1/4/2015,104.6
2/4/2015,104.6
3/4/2015,104.6
4/4/2015,104.6
5/4/2015,104.6
6/4/2015,104.6
7/4/2015,104.6
8/4/2015,104.6
9/4/2015,104.6
10/4/2015,104.7
11/4/2015,104.7
12/4/2015,104.7
13/4/2015,104.7
14/4/2015,104.7
15/4/2015,104.7
16/4/2015,104.7
17/4/2015,104.7
18/4/2015,104.7
19/4/2015,104.7
20/4/2015,104.7
21/4/2015,104.7
22/4/2015,104.7
23/4/2015,104.7
24/4/2015,104.7
25/4/2015,104.7
26/4/2015,104.7
27/4/2015,104.7
28/4/2015,104.8
29/4/2015,104.8
30/4/2015,104.8
1/5/2015,104.8
2/5/2015,104.8
3/5/2015,104.8
4/5/2015,104.8
5/5/2015,104.8
6/5/2015,104.8
7/5/2015,104.8
8/5/2015,104.8
9/5/2015,104.8
10/5/2015,104.8
11/5/2015,104.8
12/5/2015,104.8
13/5/2015,104.8
14/5/2015,104.8
15/5/2015,104.9
16/5/2015,104.9
17/5/2015,104.9
18/5/2015,104.9
19/5/2015,104.9
20/5/2015,104.9
21/5/2015,104.9
22/5/2015,104.9
23/5/2015,104.9
24/5/2015,104.9
25/5/2015,104.9
26/5/2015,104.9
27/5/2015,104.9
28/5/2015,104.9
29/5/2015,104.9
30/5/2015,104.9
31/5/2015,104.9
1/6/2015,105
2/6/2015,105
3/6/2015,105
4/6/2015,105
5/6/2015,105
6/6/2015,105
7/6/2015,105
8/6/2015,105
9/6/2015,105
10/6/2015,105
11/6/2015,105
12/6/2015,105
13/6/2015,105
14/6/2015,105
15/6/2015,105
16/6/2015,105
17/6/2015,105
18/6/2015,105.1
19/6/2015,105.1
20/6/2015,105.1
21/6/2015,105.1
22/6/2015,105.1
23/6/2015,105.1
24/6/2015,105.1
25/6/2015,105.1
26/6/2015,105.1
27/6/2015,105.1
28/6/2015,105.1
29/6/2015,105.1
30/6/2015,105.1
1/7/2015,105.1
2/7/2015,105.1
3/7/2015,105.1
4/7/2015,105.1
5/7/2015,105.1
6/7/2015,105.2
7/7/2015,105.2
8/7/2015,105.2
9/7/2015,105.2
10/7/2015,105.2
11/7/2015,105.2
12/7/2015,105.2
13/7/2015,105.2
14/7/2015,105.2
15/7/2015,105.2
16/7/2015,105.2
17/7/2015,105.2
18/7/2015,105.2
19/7/2015,105.2
20/7/2015,105.2
21/7/2015,105.2
22/7/2015,105.2
23/7/2015,105.3
24/7/2015,105.3
25/7/2015,105.3
26/7/2015,105.3
27/7/2015,105.3
28/7/2015,105.3
29/7/2015,105.3
30/7/2015,105.3
31/7/2015,105.3
1/8/2015,105.3
2/8/2015,105.3
3/8/2015,105.3
4/8/2015,105.3
